r_over_a,exact,L_2,L_4,L_8,L_16,L_32
0.13927855711422846,1.1248254037998815,1.1177472741586354,1.125388745489925,1.1248294597164918,1.124825404056532,1.1248254037998813
0.14120240480961924,1.1223032663261614,1.1148411261990596,1.1229136312442558,1.122307908220111,1.1223032666539374,1.1223032663261616
0.14312625250501002,1.1197560718977417,1.1118951111054287,1.1204166327838572,1.1197613744391663,1.1197560723149467,1.1197560718977417
0.1450501002004008,1.1171841504843365,1.1089092288777422,1.1178982434573228,1.1171901966103992,1.1171841510136318,1.1171841504843363
0.14697394789579157,1.1145878329950618,1.1058834795160006,1.1153589632895176,1.1145947146891162,1.114587833664423,1.114587832995062
0.14889779559118235,1.1119674511805775,1.1028178630202037,1.1127992989815765,1.1119752703120331,1.1119674520244407,1.1119674511805777
0.15082164328657313,1.109323337536213,1.0997123793903512,1.110219763910906,1.1093322067648421,1.1093233385968508,1.1093233375362133
0.1527454909819639,1.1066558252061238,1.0965670286264435,1.1076208781311834,1.1066658689547022,1.1066558265352906,1.1066558252061243
0.1546693386773547,1.1039652478885147,1.0933818107284805,1.105003168372356,1.1039766033878666,1.1039652495494032,1.103965247888515
0.15659318637274547,1.1012519397419664,1.0901567256964622,1.1023671680406428,1.1012647581526633,1.101251941811542,1.1012519397419664
0.15851703406813625,1.0985162352929092,1.0868917735303882,1.0997134172185328,1.0985306829080366,1.0985162378646744,1.0985162352929088
0.16044088176352703,1.0957584693442688,1.0835869542302592,1.0970424626647866,1.095774728877878,1.0957584725315426,1.0957584693442692
0.1623647294589178,1.0929789768853246,1.0802422677960748,1.094354857814435,1.0929972488513564,1.092978980825111,1.092978976885325
0.16428857715430858,1.090178093002807,1.076857714227835,1.09165116277878,1.0901985971894828,1.0901780978603646,1.0901780930028075
0.1662124248496994,1.087356152793272,1.07343329352554,1.0889319443453938,1.0873791298381281,1.087356158767487,1.0873561527932725
0.16813627254509017,1.0845134912767687,1.0699690056891895,1.0861977759781198,1.084539204347727,1.084513498606467,1.0845134912767693
0.17006012024048095,1.0816504433118377,1.0664648507187837,1.0834492378170726,1.0816791798998984,1.0816504522831856,1.0816504433118397
0.17198396793587173,1.0787673435118628,1.0629208286143226,1.0806869166786366,1.0787994173412176,1.078767354467021,1.0787673435118645
0.1739078156312625,1.075864526162794,1.059336939375806,1.0779114060554678,1.0759002792243826,1.0758645395100315,1.0758645261627962
0.1758316633266533,1.07294232514227,1.0557131830032345,1.075123306116493,1.0729821298570041,1.0729423413677495,1.0729423251422736
0.17775551102204407,1.0700010738401624,1.0520495594966073,1.0723232237069091,1.0700453353582717,1.0700010935216524,1.070001073840168
0.17967935871743484,1.0670411050805502,1.0483460688559247,1.0695117723481844,1.0670902637237414,1.0670411289033577,1.0670411050805575
0.18160320641282562,1.0640627510451561,1.044602711081187,1.066689572238058,1.064117284898487,1.0640627798206008,1.0640627510451666
0.1835270541082164,1.0610663431982468,1.0408194861723938,1.0638572502505392,1.0611267708588714,1.0610663778850493,1.0610663431982617
0.18545090180360718,1.0580522122130251,1.0369963941295455,1.061015439935909,1.0581190957031918,1.0580522539420274,1.0580522122130465
0.18737474949899796,1.0550206878995136,1.0331334349526415,1.0581647815207182,1.0550946357514521,1.0550207380022056,1.0550206878995434
0.18929859719438877,1.0519720991339536,1.0292306086416823,1.0553059219077892,1.0520537696545276,1.0519721591753433,1.0519720991339958
0.19122244488977955,1.0489067737897209,1.0252879151966678,1.052439514676215,1.0489968785129773,1.0489068456061454,1.0489067737897801
0.19314629258517033,1.0458250386697707,1.0213053546175979,1.049566220081359,1.0459243460057739,1.045825124412332,1.0458250386698535
0.1950701402805611,1.0427272194406225,1.0172829269044728,1.0466867050548558,1.0428365585292196,1.0427273216250073,1.0427272194407389
