theta_over_pi,sigma_b_0p25,sigma_b_0p45,sigma_b_0p65,sigma_b_0p8
0.03719599427753934,-0.1752429314288488,-0.3701239826642698,-0.9652044899903226,-2.4938349864086997
0.03862660944206008,-0.17511897699075807,-0.36926110164767684,-0.957603415416946,-2.4323460520797258
0.04005722460658082,-0.17499052281718938,-0.36836936023709455,-0.949821822674189,-2.3711742223704038
0.04148783977110157,-0.1748575882838567,-0.36744914615447805,-0.9418693372012513,-2.31044827164036
0.04291845493562231,-0.17472019340327238,-0.36650085714711333,-0.9337555973388736,-2.2502853950926176
0.04434907010014306,-0.1745783588177564,-0.3655249005994862,-0.9254902312132651,-2.1907914467979097
0.0457796852646638,-0.17443210579224563,-0.36452169313933225,-0.917082834507076,-2.1320612653294035
0.04721030042918454,-0.17428145620690882,-0.36349166023853124,-0.9085429491829734,-2.074179071771272
0.04864091559370529,-0.17412643254957152,-0.36243523580949727,-0.8998800432161247,-2.0172189257481086
0.050071530758226034,-0.17396705790795539,-0.36135286179772214,-0.8911034913831752,-1.961245226176589
0.05150214592274678,-0.17380335596173677,-0.36024498777111574,-0.8822225571463181,-1.9063132446100728
0.05293276108726752,-0.17363535097442942,-0.35911207050679567,-0.8732463756626263,-1.8524696802807292
0.05436337625178826,-0.1734630677850969,-0.3579545735759594,-0.8641839379404564,-1.7997532271990697
0.05579399141630901,-0.1732865317998982,-0.3567729669274733,-0.855044076156802,-1.7481951449133917
0.05722460658082975,-0.17310576898347307,-0.35556772647079776,-0.845835450141947,-1.697819825733543
0.05865522174535049,-0.17292080585017214,-0.35433933365886006,-0.8365665350306222,-1.648645352363319
0.060085836909871244,-0.17273166945513563,-0.3530882750714777,-0.8272456100722514,-1.6006840409483032
0.061516452074391985,-0.1725383873852284,-0.35181504199991165,-0.8178807485866938,-1.5539429655219497
0.06294706723891272,-0.17234098774983345,-0.35052013003313004,-0.8084798090462637,-1.5084244607147665
0.06437768240343347,-0.1721394991715135,-0.3492040386463336,-0.7990504272596936,-1.4641266003796514
0.06580829756795421,-0.17193395077654097,-0.3478672707922871,-0.7896000096290839,-1.421043650479635
0.06723891273247497,-0.17172437218530726,-0.34651033249598084,-0.7801357274468702,-1.3791664951869018
0.06866952789699571,-0.17151079350261184,-0.3451337324531287,-0.7706645121962444,-1.3384830356579995
0.07010014306151645,-0.17129324530784099,-0.34373798163299013,-0.7611930518154797,-1.2989785613857798
0.07153075822603719,-0.17107175864503843,-0.342323592885987,-0.7517277878840257,-1.2606360943904091
0.07296137339055793,-0.17084636501287578,-0.34089108055656264,-0.7422749136862131,-1.2234367068065553
0.07439198855507868,-0.17061709635452713,-0.3394409601017142,-0.7328403731067896,-1.1873598126589118
0.07582260371959942,-0.17038398504745378,-0.33797374771560224,-0.7234298603112814,-1.1523834348005038
0.07725321888412016,-0.17014706389310524,-0.3364899599606321,-0.7140488201634765,-1.1184844481242642
0.07868383404864092,-0.16990636610654125,-0.3349901134053633,-0.7047024493318315,-1.0856388002546868
0.08011444921316165,-0.16966192530598134,-0.33347472426959995,-0.6953956980365932,-1.0538217109889927
0.0815450643776824,-0.16941377550228678,-0.33194430807697745,-0.6861332723896648,-1.0230078517909076
0.08297567954220314,-0.16916195108838158,-0.33039937931535024,-0.6769196372797561,-0.9931715066505749
0.08440629470672388,-0.16890648682861678,-0.3288404511052551,-0.6677590197561956,-0.9642867156149805
0.08583690987124462,-0.16864741784808523,-0.3272680348767104,-0.6586554128657474,-0.9363274022685067
0.08726752503576536,-0.16838477962189105,-0.3256826400545814,-0.6496125798980164,-0.909267486406534
0.08869814020028612,-0.16811860796437997,-0.3240847737527274,-0.6406340589964183,-0.8830809830986778
0.09012875536480686,-0.1678489390183366,-0.32247494047712094,-0.6317231680931914,-0.8577420892852442
0.0915593705293276,-0.16757580924415258,-0.3208536418381084,-0.6228830101285907,-0.8332252589927155
0.09298998569384834,-0.16729925540897272,-0.31922137627196134,-0.6141164785161553,-0.8095052681930972
0.09442060085836908,-0.16701931457582356,-0.31757863877184705,-0.6054262628177491,-0.7865572702696425
0.09585121602288985,-0.16673602409272992,-0.3159259206283279,-0.5968148545939364,-0.7643568429885159
0.09728183118741059,-0.16644942158182532,-0.31426370917947305,-0.588284553397199,-0.742880027813746
0.09871244635193133,-0.16615954492845994,-0.3125924875706581,-0.5798374728773699,-0.7221033623416989
