theta_over_pi,exact,L_4,L_8,L_16,L_32
0.3806343906510851,-0.0778227733561014,-0.0717517025121835,-0.0778019725354593,-0.0778229193891525,-0.0778227733574406
0.3823038397328881,-0.0772384409146299,-0.071193599674439,-0.0772015775056204,-0.0772386527418965,-0.0772384409163976
0.3839732888146911,-0.0766602176039301,-0.0706462822281136,-0.0766075021006966,-0.0766604929806713,-0.0766602176060692
0.3856427378964941,-0.0760880361758683,-0.0701096176210333,-0.0760197153179567,-0.0760883723476961,-0.0760880361783105
0.3873121869782971,-0.0755218300314561,-0.06958347132965,-0.0754381859160483,-0.0755222237609878,-0.0755218300341248
0.3889816360601001,-0.0749615332201596,-0.0690677069317494,-0.074862882341512,-0.0749619808174074,-0.0749615332229716
0.3906510851419032,-0.0744070804389457,-0.0685621861794692,-0.0742937726578596,-0.074407577795168,-0.0744070804418139
0.3923205342237062,-0.0738584070310776,-0.0680667690725966,-0.0737308244773545,-0.0738589496557868,-0.0738584070339141
0.3939899833055092,-0.0733154489846735,-0.067581313932113,-0.073174004895619,-0.0733160320454746,-0.0733154489873917
0.3956594323873122,-0.0727781429310363,-0.067105677473954,-0.0726232804291911,-0.0727787612959499,-0.0727781429335539
0.3973288814691152,-0.0722464261427686,-0.0666397148829559,-0.0720786169561401,-0.072247074424675,-0.0722464261450101
0.3989983305509182,-0.0717202365316822,-0.0661832798869533,-0.0715399796598463,-0.0717209091345077,-0.0717202365335809
0.4006677796327212,-0.0711995126465114,-0.0657362248310002,-0.0710073329760379,-0.0712002038127695,-0.0711995126480117
0.4023372287145242,-0.0706841936704423,-0.0652984007516805,-0.0704806405431736,-0.0706848975297321,-0.070684193671501
0.4040066777963272,-0.0701742194184654,-0.0648696574514787,-0.0699598651562477,-0.070174930036527,-0.070174219419053
0.4056761268781302,-0.069669530334562,-0.0644498435731776,-0.0694449687240889,-0.0696702417624865,-0.0696695303346636
0.4073455759599332,-0.069170067488733,-0.0640388066742544,-0.068935912230212,-0.0691707738119259,-0.0691700674883487
0.4090150250417362,-0.0686757725738786,-0.063636393301241,-0.0684326556972768,-0.0686764679603825,-0.0686757725730234
0.4106844741235392,-0.0681865879025371,-0.0632424490640211,-0.0679351581551974,-0.0681872666503259,-0.0681865879012399
0.4123539232053422,-0.0677024564034902,-0.0628568187100305,-0.0674433776129377,-0.06770311298636,-0.0677024564017936
0.4140233722871452,-0.0672233216182446,-0.0624793461983313,-0.0669572710340194,-0.0672239507299384,-0.0672233216162029
0.4156928213689482,-0.066749127697394,-0.0621098747735297,-0.0664767943157616,-0.066749724293617,-0.0667491276950716
0.4173622704507512,-0.0662798193968716,-0.0617482470395063,-0.0660019022722627,-0.0662803787348716,-0.0662798193943412
0.4190317195325542,-0.0658153420740979,-0.0613943050329293,-0.0655325486211241,-0.0658158597495081,-0.065815342071438
0.4207011686143573,-0.065355641684032,-0.0610478902965205,-0.0650686859739119,-0.0653561136646975,-0.0653556416813246
0.4223706176961603,-0.0649006647751311,-0.0607088439520442,-0.0646102658303399,-0.0649010874316668,-0.064900664772459
0.4240400667779633,-0.0644503584852256,-0.0603770067729903,-0.0641572385761523,-0.0644507286180817,-0.0644503584826702
0.4257095158597663,-0.0640046705373152,-0.0600522192569206,-0.0637095534846752,-0.0640049854001555,-0.0640046705349537
0.4273789649415693,-0.0635635492352915,-0.0597343216974511,-0.0632671587219987,-0.0635638065545219,-0.0635635492331949
0.4290484140233723,-0.0631269434595924,-0.0594231542558403,-0.0628300013557435,-0.0631271414499078,-0.063126943457823
0.4307178631051753,-0.0626948026627944,-0.0591185570321553,-0.0623980273673593,-0.0626949400386458,-0.0626948026614043
0.4323873121869783,-0.0622670768651464,-0.0588203701359873,-0.061971181667894,-0.0622671528480639,-0.0622670768641756
0.4340567612687813,-0.0618437166500508,-0.0585284337566891,-0.0615494081171664,-0.061843730971792,-0.0618437166495267
0.4357262103505843,-0.0614246731594968,-0.0582425882331054,-0.0611326495462682,-0.0614246260610214,-0.0614246731594327
0.4373956594323873,-0.0610098980894487,-0.0579626741227706,-0.0607208477833148,-0.0610097903157581,-0.061009898089844
0.4390651085141903,-0.0605993436851954,-0.0576885322705453,-0.0603139436823566,-0.0605991764761053,-0.0605993436860354
0.4407345575959933,-0.0601929627366638,-0.0574200038766649,-0.0599118771553585,-0.060192737813611,-0.0601929627379204
0.4424040066777963,-0.0597907085737006,-0.0571569305641756,-0.059514587207149,-0.0597904281227179,-0.0597907085753333
